Time(ps)    Distance(Ni-Zr)(A)
100.0    9.067314807289971
200.0    26.046912661305946
300.0    40.481282732158036
400.0    27.336424554293853
500.0    16.848556576935607
600.0    36.54254914073297
700.0    16.015347419072775
800.0    11.844861068004343
900.0    35.84686277747127
1000.0    37.873192432561055
1100.0    8.957747473918653
1200.0    24.66529678135051
1300.0    25.481866540980647
1400.0    13.545010586869246
1500.0    36.16396221015064
1600.0    34.830884950275326
1700.0    16.33906288115108
1800.0    28.216519047006848
1900.0    18.148177343581914
2000.0    36.422292488433506
2100.0    7.701132562766336
